TIMESTAMP,LNG,LAT,DEVICE_NAME,TEMPERATURE,HUMIDITY,PRESSURE,PITCH,ROLL,YAW,X,Y,Z
20190904 23:00 , -118.323411 , 33.893916 , AstroPiOTA , 37.55500030517578 , 34.26036834716797 , 1014.95654296875 , 355.1923378455943 , 97.59166897448813 , 216.27454227671276 , 0.083643838763237 , 1.0012766122817993 , -0.13594011962413788
20190904 23:30 , -118.323411 , 33.893916 , AstroPiOTA , 37.16999816894531 , 34.237648010253906 , 1014.611328125 , 355.2727603348634 , 97.44236786942082 , 217.43309262410867 , 0.0850985199213028 , 0.9986058473587036 , -0.1325657218694687
20190905 00:00 , -118.323411 , 33.893916 , AstroPiOTA , 36.8216667175293 , 33.35717010498047 , 1014.138427734375 , 355.2057087946682 , 97.5645258027265 , 217.05920806894218 , 0.083643838763237 , 1.000548243522644 , -0.13304777443408966
20190905 00:30 , -118.323411 , 33.893916 , AstroPiOTA , 36.418331146240234 , 33.80592727661133 , 1014.325439453125 , 355.28663927925686 , 97.56634263304572 , 216.72426925242308 , 0.0819467157125473 , 1.0007909536361694 , -0.1323246955871582
20190905 01:00 , -118.323411 , 33.893916 , AstroPiOTA , 35.996665954589844 , 33.90817642211914 , 1014.47607421875 , 355.2453712762917 , 97.64960263902817 , 215.76324797582396 , 0.0834013968706131 , 0.999819815158844 , -0.13352984189987183
20190905 01:30 , -118.323411 , 33.893916 , AstroPiOTA , 35.758331298828125 , 33.419654846191406 , 1014.77197265625 , 355.35043580742575 , 97.46875289018458 , 216.52149459634376 , 0.0817042738199234 , 1.0000625848770142 , -0.13184264302253723
20190905 02:00 , -118.323411 , 33.893916 , AstroPiOTA , 35.4283332824707 , 33.82297134399414 , 1015.01416015625 , 355.31593182617297 , 97.53557946102399 , 216.44841157222461 , 0.0826740637421608 , 1.0000625848770142 , -0.1325657218694687
20190905 02:30 , -118.323411 , 33.893916 , AstroPiOTA , 35.22666549682617 , 33.67811965942383 , 1014.848388671875 , 355.3571989753645 , 97.45236726636571 , 216.74592095209204 , 0.0824316069483757 , 0.9993342161178589 , -0.13184264302253723
20190905 03:00 , -118.323411 , 33.893916 , AstroPiOTA , 35.0433349609375 , 33.419654846191406 , 1014.693115234375 , 355.36786004688526 , 97.48489262719332 , 216.09764037720944 , 0.0809769406914711 , 1.000548243522644 , -0.13184264302253723
20190905 03:30 , -118.323411 , 33.893916 , AstroPiOTA , 34.78666687011719 , 33.26344299316406 , 1014.441162109375 , 355.3667586788816 , 97.48668896694504 , 217.18838060652544 , 0.0824316069483757 , 1.000548243522644 , -0.13425292074680328
20190905 04:00 , -118.323411 , 33.893916 , AstroPiOTA , 34.56666564941406 , 33.618473052978516 , 1014.482666015625 , 355.4253501760161 , 97.53557946102399 , 217.2968849916803 , 0.0802495926618576 , 1.000305414199829 , -0.13208366930484772
20190905 04:30 , -118.323411 , 33.893916 , AstroPiOTA , 34.383331298828125 , 32.539180755615234 , 1014.4765625 , 355.3898963715818 , 97.50748006277855 , 217.42781971806943 , 0.0800071507692337 , 0.999819815158844 , -0.13136059045791626
20190905 05:00 , -118.323411 , 33.893916 , AstroPiOTA , 34.27333068847656 , 33.09586715698242 , 1014.6044921875 , 355.50729579747014 , 97.52200787514317 , 216.46606078103991 , 0.0807344913482666 , 1.000305414199829 , -0.1323246955871582
20190905 05:30 , -118.323411 , 33.893916 , AstroPiOTA , 33.85166549682617 , 33.0390625 , 1014.926513671875 , 355.4921763199687 , 97.59349263499652 , 216.99139795086228 , 0.0792798176407814 , 1.0007909536361694 , -0.1323246955871582
20190905 06:00 , -118.323411 , 33.893916 , AstroPiOTA , 33.869998931884766 , 32.77775955200195 , 1015.2060546875 , 355.5012536413756 , 97.46311115393014 , 216.31064665666545 , 0.0797647088766098 , 0.9990915060043335 , -0.13015544414520264
20190905 06:30 , -118.323411 , 33.893916 , AstroPiOTA , 33.7783317565918 , 32.24663543701172 , 1015.538330078125 , 355.5282427069941 , 97.42233492458517 , 216.54537293768212 , 0.07855246961116791 , 0.9990915060043335 , -0.13111954927444458
20190905 07:00 , -118.323411 , 33.893916 , AstroPiOTA , 33.68666458129883 , 33.0816650390625 , 1016.14306640625 , 355.4848910694452 , 97.52288213935694 , 216.05743788375474 , 0.0790373682975769 , 0.9993342161178589 , -0.13136059045791626
